product,category,price,startdate,enddate
Samsung TX,Tablet,999,1/2/2020 1:00,1/2/2021 0:00
Samsung JX,Mobile,799,1/3/2020 2:00,1/3/2021 0:00
Redmi Note,Mobile,399,1/4/2020 3:00,1/4/2021 0:00
Mi,Mobile,299,1/5/2020 4:00,1/5/2021 0:00
Apple,Tablet,789,1/6/2020 5:00,1/6/2021 0:00
Apple,Mobile,999,1/7/2020 6:00,1/7/2021 0:00
Micromax,Mobile,249,1/8/2020 7:00,1/8/2021 0:00
Lenovo,Tablet,499,1/9/2020 8:00,1/9/2021 0:00
OnePlus,Mobile,356,1/10/2020 9:00,1/10/2021 0:00
Xu,Tablet,267,1/11/2020 10:00,1/11/2021 0:00
,Mobile,300,1/11/2020 10:00,1/11/2021 0:00
